name,usage
lactaid fast act,"This product is an enzyme supplement used to help people who have trouble digesting milk and other dairy products (lactose intolerance). Lactose is a type of sugar found in milk products. Lactase enzyme is normally produced by the body to help break down (digest) lactose. Lactose intolerance occurs when the body produces low amounts of lactase enzyme.Lactose intolerance can begin at different ages. Infants are not usually affected, but lactose intolerance can affect children as young as 2. It is very common in adults. One way to treat lactose intolerance is to avoid milk products. However, this can result in a lack of important nutrients and vitamins such as calcium, vitamin D, riboflavin, and protein. Some people use lactose-free milk or milk substitutes such as soy or rice milk. Most people with low lactase enzyme levels can tolerate small amounts of milk products at one time (2-4 ounces) and get symptoms only with larger servings (6 ounces or more). Taking lactase enzyme with milk products as directed can help prevent upset stomach, abdominal bloating/cramping, gas, and diarrhea caused by these products.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
maxzide,"This drug is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This medication is a combination of two ""water pills"" (diuretics): triamterene and hydrochlorothiazide. This combination is used by people who have developed or are at risk for having low potassium levels on hydrochlorothiazide. It causes you to make more urine, which helps your body get rid of extra salt and water.This medication also reduces extra fluid in the body (edema) caused by conditions such as heart failure, liver disease, or kidney disease. This can lessen symptoms such as shortness of breath or swelling in your ankles or feet."
maxzide-25 mg,"This drug is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This medication is a combination of two ""water pills"" (diuretics): triamterene and hydrochlorothiazide. This combination is used by people who have developed or are at risk for having low potassium levels on hydrochlorothiazide. It causes you to make more urine, which helps your body get rid of extra salt and water.This medication also reduces extra fluid in the body (edema) caused by conditions such as heart failure, liver disease, or kidney disease. This can lessen symptoms such as shortness of breath or swelling in your ankles or feet."
maxsleep junior 1 mg/ml oral liquid hypnotics,"Melatonin has been used for short-term treatment of trouble sleeping (insomnia) due to sleep cycle disorders and time changes (""jet lag""). This product may help you fall asleep faster and decrease the number of times you awaken during the night. It may also help you sleep for a longer time. Melatonin is a substance that your body normally makes. It is thought to help your body's regular daily cycle, hormone production, and sleep patterns.Some herbal/diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"maxitrol suspension, drops (final dose form)","This medication is used to treat conditions involving swelling (inflammation) of the eyes and to treat or prevent bacterial eye infections. This product contains neomycin and polymyxin, antibiotics that work by stopping the growth of bacteria. It also contains dexamethasone, an anti-inflammatory corticosteroid that works by reducing swelling.This medication treats/prevents only bacterial eye infections. It will not work for other types of eye infections and may worsen them (such as infections caused by viruses, fungi, mycobacteria). Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness."
maxitrol ointment,"This medication is used to treat conditions involving swelling (inflammation) of the eyes and to treat or prevent bacterial eye infections. This product contains neomycin and polymyxin, antibiotics that work by stopping the growth of bacteria. It also contains dexamethasone, an anti-inflammatory corticosteroid that works by reducing swelling.This medication treats/prevents only bacterial eye infections. It will not work for other types of eye infections and may worsen them (such as infections caused by viruses, fungi, mycobacteria). Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness."
maxipime 2 gram intravenous solution,Cefepime is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
natavi pnv 13.5 mg iron-0.5 mg-150 capsule multivitamins,"This medication contains vitamins, minerals, and fatty acids. It is used to treat or prevent a lack of these nutrients during pregnancy or due to poor diet or certain illnesses. Vitamins, minerals, and fatty acids are important building blocks of the body and help keep you in good health.This combination product may contain folic acid. Women who are or may become pregnant should maintain adequate levels of folic acid through either diet or supplements to prevent spinal cord birth defects.Some supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
natalizumab solution,"Read the Medication Guide provided by your pharmacist before you start using natalizumab and each time you receive another dose. If you have any questions, ask your doctor or pharmacist."
"natamycin drops, suspension",Natamycin is used to treat fungal eye infections. It works by stopping the growth of certain types of fungus.This medication treats only fungal eye infections. It will not work for other types of eye infections. Unnecessary use or misuse of any drug used to treat infection can lead to its decreased effectiveness.
natavi lactant 5 mg iron-0.5 mg-150 mg-20 capsule multivitamins,"This medication contains vitamins, minerals, and fatty acids. It is used to treat or prevent a lack of these nutrients during pregnancy or due to poor diet or certain illnesses. Vitamins, minerals, and fatty acids are important building blocks of the body and help keep you in good health.This combination product may contain folic acid. Women who are or may become pregnant should maintain adequate levels of folic acid through either diet or supplements to prevent spinal cord birth defects.Some supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"natacyn suspension, drops (final dose form)",Natamycin is used to treat fungal eye infections. It works by stopping the growth of certain types of fungus.This medication treats only fungal eye infections. It will not work for other types of eye infections. Unnecessary use or misuse of any drug used to treat infection can lead to its decreased effectiveness.
natal pnv 6 mg iron-833.5 mcg dfe tablet multivitamins,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
"nasonex aerosol, spray with pump","If you are using the over-the-counter product to self-treat, read and follow all directions on the product package before using this medication. If you have any questions, consult your pharmacist. If your doctor has prescribed this medication, use it as directed."
natachew,"This medication is a multivitamin and mineral product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health. Women of childbearing age should maintain adequate levels of folic acid either through diet or supplements to prevent infant spinal cord defects."
nasopen pe,"This combination medication is used to temporarily relieve symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing. Decongestants help to relieve stuffy nose and ear congestion symptoms.If you are self-treating with this medication, carefully read the package instructions to be sure it is right for you before you start using this product. Some products have similar brand names but different active ingredients with different uses. Taking the wrong product could harm you. Ask your pharmacist if you have any questions about your product or its use.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (including some long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely. Do not use this product to make a child sleepy.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
nasonex 24hr allergy 50 mcg/actuation nasal spray steroids,"If you are using the over-the-counter product to self-treat, read and follow all directions on the product package before using this medication. If you have any questions, consult your pharmacist. If your doctor has prescribed this medication, use it as directed."
daily multivitamin-iron,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
daily multivitamin,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
daily moisturizing lotion 1.25 % topical,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
daily fiber (psyllium-aspartame) 3 gram oral powder packet bulk laxatives,"This medication is used to treat constipation. It increases the bulk in your stool, an effect that helps to cause movement of the intestines. It also works by increasing the amount of water in the stool, making the stool softer and easier to pass.Psyllium, one type of bulk-forming laxative, has also been used along with a proper diet to treat high cholesterol."
daily fiber (psyllium-sucrose) 3.4 gram/12 gram oral powder,"This medication is used to treat constipation. It increases the bulk in your stool, an effect that helps to cause movement of the intestines. It also works by increasing the amount of water in the stool, making the stool softer and easier to pass.Psyllium, one type of bulk-forming laxative, has also been used along with a proper diet to treat high cholesterol."
lacosamide,"Lacosamide is used in people with epilepsy to treat and prevent seizures, sometimes called convulsions."
daily multiple for women 18 mg iron-400 mcg-500 ca tablet,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
labetalol,Labetalol is commonly used to lower high blood pressure (hypertension).
"daily acne wash 2 % topical cleanser keratolytics (topical), general","This product is used to treat mild to moderate acne. It may be used in combination with other acne treatments. Check with your doctor or pharmacist first before combining acne treatments. Salicylic acid belongs to a class of drugs known as salicylates. When applied to the skin, salicylic acid may work by helping the skin to shed dead cells from the top layer and by decreasing redness and swelling (inflammation). This decreases the number of pimples that form and speeds healing."
lac-hydrin five lotion,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
daily fiber,"This medication is used to treat constipation. It increases the bulk in your stool, an effect that helps to cause movement of the intestines. It also works by increasing the amount of water in the stool, making the stool softer and easier to pass.Psyllium, one type of bulk-forming laxative, has also been used along with a proper diet to treat high cholesterol."
"l.rhamn a-191-l.ac-b.bre-b.lon capsule, sprinkle","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
maximum d3,"Vitamin D (ergocalciferol-D2, cholecalciferol-D3, alfacalcidol) is a fat-soluble vitamin that helps your body absorb calcium and phosphorus. Having the right amount of vitamin D, calcium, and phosphorus is important for building and keeping strong bones. Vitamin D is used to treat and prevent bone disorders (such as rickets, osteomalacia). Vitamin D is made by the body when skin is exposed to sunlight. Sunscreen, protective clothing, limited exposure to sunlight, dark skin, and age may prevent getting enough vitamin D from the sun.Vitamin D with calcium is used to treat or prevent bone loss (osteoporosis). Vitamin D is also used with other medications to treat low levels of calcium or phosphate caused by certain disorders (such as hypoparathyroidism, pseudohypoparathyroidism, familial hypophosphatemia). It may be used in kidney disease to keep calcium levels normal and allow normal bone growth. Vitamin D drops (or other supplements) are given to breastfed infants because breast milk usually has low levels of vitamin D."
lacrisert insert,"This medication is an insert that is placed in your eye to treat dry eyes. It is usually used when an artificial tears solution is not successful. This medication may also be used to treat certain other eye disorders (keratitis, decreased corneal sensitivity). It works by keeping the eye moist, helping to protect the eye from injury and infection and to decrease symptoms of dry eyes such as burning, itching, and feeling as if something is in the eye."
maximin pack(with lycopene) 500 mcg-30 mcg-300 mcg oral combo pack multivitamins,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
maxifed,"This combination medication is used to temporarily treat cough and runny/stuffy nose (nasal congestion) caused by infections (such as the common cold), allergies (such as hay fever), and other breathing illnesses. This product is usually not used for ongoing cough from smoking or long-term breathing problems (such as chronic bronchitis, emphysema) unless directed by your doctor. Guaifenesin is an expectorant. It works by thinning and loosening mucus in the airways, clearing congestion, and making breathing easier. Pseudoephedrine is a decongestant (sympathomimetic). It reduces nasal congestion by narrowing the blood vessels in the nose.If you are self-treating with this medication, it is important to read the package instructions carefully before you start using this product to be sure it is right for you. (See also Precautions section.)Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
maxifed tr 1.25 mg-30 mg tablet oral decongestants,"This combination medication is used to temporarily relieve symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing. Decongestants help to relieve stuffy nose and ear congestion symptoms.If you are self-treating with this medication, carefully read the package instructions to be sure it is right for you before you start using this product. Some products have similar brand names but different active ingredients with different uses. Taking the wrong product could harm you. Ask your pharmacist if you have any questions about your product or its use.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (including some long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely. Do not use this product to make a child sleepy.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
"maxidex suspension, drops (final dose form)","This medication is used to treat certain eye conditions due to inflammation or injury. Dexamethasone works by relieving symptoms such as swelling, redness, and itching. It belongs to a class of drugs known as corticosteroids.This medication may also be used to treat swelling, redness, and itching of the outer ear due to inflammatory conditions."
maxi-tuss tr 1.25 mg-30 mg/5 ml oral syrup decongestants,"This combination medication is used to temporarily relieve symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing. Decongestants help to relieve stuffy nose and ear congestion symptoms.If you are self-treating with this medication, carefully read the package instructions to be sure it is right for you before you start using this product. Some products have similar brand names but different active ingredients with different uses. Taking the wrong product could harm you. Ask your pharmacist if you have any questions about your product or its use.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (including some long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely. Do not use this product to make a child sleepy.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
"nasalcrom aerosol, spray with pump","This medication is used to prevent allergic symptoms in the nose. It reduces stuffy/runny nose, mucus dripping into the back of the throat, itching, and sneezing caused by seasonal allergies (hay fever) and other allergens (such as dust mites, pet dander). This medication is not an antihistamine and does not provide immediate relief from allergic symptoms. It should be used before contact with the allergen.Cromolyn is known as a mast cell stabilizer. It works by preventing the release of certain natural substances (histamine, SRS-A) made by the body that cause allergy symptoms.Do not use this medication to treat sinus infection, asthma, or cold symptoms."
"nascobal spray, non-aerosol","Cyanocobalamin is a man-made form of vitamin B12 used to treat low levels (deficiency) of this vitamin. Vitamin B12 helps your body use fat and carbohydrates for energy and make new protein. It is also important for normal blood, cells, and nerves. Most people get enough vitamin B12 in their diet, but a deficiency may occur in certain health conditions (such as poor nutrition, pregnancy, stomach/intestinal problems, infection, cancer). Serious vitamin B12 deficiency may result in anemia, stomach problems, and nerve damage."
"nasal spray spray, non-aerosol","This medication is used for temporary relief of congestion in the nose caused by various conditions including the common cold, sinusitis, hay fever, and allergies. It works by narrowing the blood vessels in the nose area, reducing swelling and congestion."
"nasal spray sinus spray, non-aerosol","This medication is used for temporary relief of congestion in the nose caused by various conditions including the common cold, sinusitis, hay fever, and allergies. It works by narrowing the blood vessels in the nose area, reducing swelling and congestion."
dacogen vial,"This medication is used to treat a group of blood/bone marrow disorders (myelodysplastic syndromes-MDS) in which the bone marrow does not produce enough healthy blood cells. People with MDS may have problems such as infections, anemia, and easy bleeding/bruising. Decitabine is a chemotherapy drug. It is believed to work by helping your bone marrow grow normal blood cells so you will need fewer blood transfusions. Decitabine also kills abnormal blood cells that have grown too fast and do not work properly."
dacarbazine vial,"Dacarbazine is used to treat certain types of cancer, such as skin cancer and Hodgkin's disease. It is a cancer chemotherapy drug that is used to slow or stop cancer cell growth."
d3-2000,"Vitamin D (ergocalciferol-D2, cholecalciferol-D3, alfacalcidol) is a fat-soluble vitamin that helps your body absorb calcium and phosphorus. Having the right amount of vitamin D, calcium, and phosphorus is important for building and keeping strong bones. Vitamin D is used to treat and prevent bone disorders (such as rickets, osteomalacia). Vitamin D is made by the body when skin is exposed to sunlight. Sunscreen, protective clothing, limited exposure to sunlight, dark skin, and age may prevent getting enough vitamin D from the sun.Vitamin D with calcium is used to treat or prevent bone loss (osteoporosis). Vitamin D is also used with other medications to treat low levels of calcium or phosphate caused by certain disorders (such as hypoparathyroidism, pseudohypoparathyroidism, familial hypophosphatemia). It may be used in kidney disease to keep calcium levels normal and allow normal bone growth. Vitamin D drops (or other supplements) are given to breastfed infants because breast milk usually has low levels of vitamin D."
dabigatran etexilate 150 mg oral pellets in packet,"This form of dabigatran is given to infants and children to treat blood clots in the veins of the legs (deep vein thrombosis) or lungs (pulmonary embolism) and to reduce the risk of them occurring again. Dabigatran is an anticoagulant that works by blocking certain clotting proteins in the blood. This helps to keep blood flowing smoothly in your child's body.Dabigatran should not be used to prevent blood clots from forming after artificial heart valve replacement. If your child had heart valve surgery, talk to the doctor about the best medication for your child."
d-vi-sol,"Vitamin D (ergocalciferol-D2, cholecalciferol-D3, alfacalcidol) is a fat-soluble vitamin that helps your body absorb calcium and phosphorus. Having the right amount of vitamin D, calcium, and phosphorus is important for building and keeping strong bones. Vitamin D is used to treat and prevent bone disorders (such as rickets, osteomalacia). Vitamin D is made by the body when skin is exposed to sunlight. Sunscreen, protective clothing, limited exposure to sunlight, dark skin, and age may prevent getting enough vitamin D from the sun.Vitamin D with calcium is used to treat or prevent bone loss (osteoporosis). Vitamin D is also used with other medications to treat low levels of calcium or phosphate caused by certain disorders (such as hypoparathyroidism, pseudohypoparathyroidism, familial hypophosphatemia). It may be used in kidney disease to keep calcium levels normal and allow normal bone growth. Vitamin D drops (or other supplements) are given to breastfed infants because breast milk usually has low levels of vitamin D."
d3 dots,"Vitamin D (ergocalciferol-D2, cholecalciferol-D3, alfacalcidol) is a fat-soluble vitamin that helps your body absorb calcium and phosphorus. Having the right amount of vitamin D, calcium, and phosphorus is important for building and keeping strong bones. Vitamin D is used to treat and prevent bone disorders (such as rickets, osteomalacia). Vitamin D is made by the body when skin is exposed to sunlight. Sunscreen, protective clothing, limited exposure to sunlight, dark skin, and age may prevent getting enough vitamin D from the sun.Vitamin D with calcium is used to treat or prevent bone loss (osteoporosis). Vitamin D is also used with other medications to treat low levels of calcium or phosphate caused by certain disorders (such as hypoparathyroidism, pseudohypoparathyroidism, familial hypophosphatemia). It may be used in kidney disease to keep calcium levels normal and allow normal bone growth. Vitamin D drops (or other supplements) are given to breastfed infants because breast milk usually has low levels of vitamin D."
"l.pla,acid,ferm,rhm-b.bif,long tablet, delayed and extended release","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"l.plantarum-s.boulardii-p.acidilact 8 billion cell capsule,delayed rel","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"l.cas,rham-b.brev,inf,long-gos 3 billion cell-600 mg/gram oral powder","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"l.crispatus,gass,jensen,rhamno 5 billion cell-bacterioph 15 mg capsule","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
l.acidophilus-l.rhamnosus-b.animalis 6 billion cell sprinkle capsule,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"l.acidophilus,paracasei,plantarum-b.animalis 20 billion cell capsule","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
l.acidophilus-l.paracasei-b.bifidum-s.thermophl 8 billion cell capsule,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
dabigatran etexilate 150 mg capsule thrombin inhibitors (non-heparinoid),"Dabigatran is used to prevent stroke and harmful blood clots (such as in your legs or lungs) if you have a certain type of irregular heartbeat (atrial fibrillation). Dabigatran is also used to treat blood clots in the veins of your legs (deep vein thrombosis) or lungs (pulmonary embolism) and to reduce the risk of them occurring again. This medication may also be used to prevent these blood clots from forming after hip replacement surgery. Dabigatran is an anticoagulant that works by blocking a certain substance (a clotting protein called thrombin) in your blood. This helps to keep blood flowing smoothly in your body.Dabigatran should not be used to prevent blood clots from forming after artificial heart valve replacement. If you have had heart valve surgery, talk to your doctor about the best medication for you. Do not stop taking any medication, including dabigatran, without talking to your doctor first."
"l.acidophil,salivari-bifido bifidum-strep thermoph 175 mg capsule","Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
